Constraint, RelationshipType, Type, Parser, Linker, #error, Nested ifdef, file pc
__UCLIBC_HAS_GNU_GLOB__ => __UCLIBC_HAS_GLOB__,output/FeatureModel/crosstree.constraints,,,,,,1,
__ARCH_HAS_NO_MMU__ => __FORCE_OPTIONS_FOR_ARCH__,output/FeatureModel/crosstree.constraints,,,,,,,
__ARCH_HAS_MMU__ => !(__ARCH_HAS_NO_MMU__),output/FeatureModel/crosstree.constraints,,,,,,,
__UCLIBC_FORMAT_FLAT_SEP_DATA__ => !(__ARCH_USE_MMU__),output/FeatureModel/crosstree.constraints,,,,,,,
__UCLIBC_HAS_SHA256_CRYPT_IMPL__ => __UCLIBC_HAS_CRYPT_IMPL__,output/FeatureModel/crosstree.constraints,,,,,,,
__UCLIBC_HAS_SYSLOG__ => __UCLIBC_HAS_NETWORK_SUPPORT__,output/FeatureModel/crosstree.constraints,,,,,,,
__SSP_QUICK_CANARY__ => __UCLIBC_HAS_SSP__,output/FeatureModel/crosstree.constraints,,,,,1,,
__CONFIG_SH5__ => __UCLIBC_HAS_LFS__,output/FeatureModel/crosstree.constraints,,,,,,,
__TARGET_alpha__ => __FORCE_OPTIONS_FOR_ARCH__,output/FeatureModel/crosstree.constraints,,,,,,,
__UCLIBC_HAS_SOFT_FLOAT__ => __UCLIBC_HAS_FLOATS__,output/FeatureModel/crosstree.constraints,,,,,,,
__TARGET_sparc__ => __FORCE_OPTIONS_FOR_ARCH__,output/FeatureModel/crosstree.constraints,,,,,,,
__UCLIBC_HAS_GETOPT_LONG__ => !(__UCLIBC_HAS_GNU_GETOPT__),output/FeatureModel/crosstree.constraints,,,,,1,,
__TARGET_arm__ => __FORCE_OPTIONS_FOR_ARCH__,output/FeatureModel/crosstree.constraints,,,,,,,
__UCLIBC_HAS_STDIO_GETC_MACRO__ => !(__UCLIBC_HAS_STDIO_BUFSIZ_NONE__),output/FeatureModel/crosstree.constraints,1,,,,,,
__UCLIBC_LINUX_MODULE_24__ => !(__TARGET_bfin__),output/FeatureModel/crosstree.constraints,,,,,,,
__TARGET_bfin__ => __FORCE_OPTIONS_FOR_ARCH__,output/FeatureModel/crosstree.constraints,,,,,,,
__CONFIG_CRISV32__ => __ARCH_HAS_MMU__,output/FeatureModel/crosstree.constraints,,,,,,,
__UCLIBC_HAS_SYS_ERRLIST__ => __UCLIBC_HAS_ERRNO_MESSAGES__,output/FeatureModel/crosstree.constraints,,,,,,,
__UCLIBC_HAS_ADVANCED_REALTIME__ => __UCLIBC_HAS_REALTIME__,output/FeatureModel/crosstree.constraints,,,,,,,
__UCLIBC_HAS_HEXADECIMAL_FLOATS__ => __UCLIBC_HAS_FLOATS__,output/FeatureModel/crosstree.constraints,,,,,,,
__UCLIBC_HAS_TLS__ <=> __UCLIBC_HAS_THREADS_NATIVE__,output/FeatureModel/crosstree.constraints,,,,,,,
__UCLIBC_HAS_GETTEXT_AWARENESS__ => __UCLIBC_MJN3_ONLY__,output/FeatureModel/crosstree.constraints,,,,,,,
__UCLIBC_HAS_FTW__ => __UCLIBC_SUSV4_LEGACY__,output/FeatureModel/crosstree.constraints,,,,,,,
__UCLIBC_PREGENERATED_LOCALE_DATA__ => __UCLIBC_HAS_LOCALE__,output/FeatureModel/crosstree.constraints,,,,,,,
__UCLIBC_HAS_IPV6__ => __UCLIBC_HAS_SOCKET__,output/FeatureModel/crosstree.constraints,,,1,,,,
__UCLIBC_FORMAT_SHARED_FLAT__ => __ARCH_HAS_NO_LDSO__,output/FeatureModel/crosstree.constraints,,,,,,,
__UCLIBC_HAS_REENTRANT_RPC__ => __UCLIBC_HAS_RPC__,output/FeatureModel/crosstree.constraints,,,,,,,
__TARGET_e1__ => __FORCE_OPTIONS_FOR_ARCH__,output/FeatureModel/crosstree.constraints,,,,,,,
__UCLIBC_FORMAT_DSBT_ELF__ => !(__ARCH_USE_MMU__),output/FeatureModel/crosstree.constraints,,,,,,,
__TARGET_vax__ => __FORCE_OPTIONS_FOR_ARCH__,output/FeatureModel/crosstree.constraints,,,,,,,
__UCLIBC_HAS_LONG_DOUBLE_MATH__ => __DO_C99_MATH__,output/FeatureModel/crosstree.constraints,,,,,,,
__CONFIG_SH3__ => __ARCH_HAS_MMU__,output/FeatureModel/crosstree.constraints,,,,,,,
__DO_XSI_MATH__ => __UCLIBC_HAS_FLOATS__,output/FeatureModel/crosstree.constraints,,,1,,,1,
__UCLIBC_HAS_LOCALE__ => __UCLIBC_HAS_CTYPE_TABLES__,output/FeatureModel/crosstree.constraints,1,,1,,,,
__UCLIBC_HAS_GLOB__ => __UCLIBC_HAS_FNMATCH__,output/FeatureModel/crosstree.constraints,,,,,,,
__LDSO_NO_CLEANUP__ => __HAVE_SHARED__,output/FeatureModel/crosstree.constraints,,,,,,,
__TARGET_nios2__ => __FORCE_OPTIONS_FOR_ARCH__,output/FeatureModel/crosstree.constraints,,,,,,,
__ARCH_WANTS_BIG_ENDIAN__ => __ARCH_BIG_ENDIAN__,output/FeatureModel/crosstree.constraints,,,,,,,
__UCLIBC_HAS_FULL_RPC__ => __UCLIBC_HAS_RPC__,output/FeatureModel/crosstree.constraints,,,,,,1,
__UCLIBC_HAS_THREADS__ => !(__HAS_NO_THREADS__),output/FeatureModel/crosstree.constraints,,,,,,,
__UCLIBC_HAS___PROGNAME__ => __UCLIBC_HAS_PROGRAM_INVOCATION_NAME__,output/FeatureModel/crosstree.constraints,,,,,,,
__SUPPORT_LD_DEBUG_EARLY__ => __HAVE_SHARED__,output/FeatureModel/crosstree.constraints,,,,,,,
__HAVE_NO_PIC__ => __FORCE_OPTIONS_FOR_ARCH__,output/FeatureModel/crosstree.constraints,,,,,,,
__LDSO_PRELINK_SUPPORT__ => __HAVE_SHARED__,output/FeatureModel/crosstree.constraints,,,,,,,
__UCLIBC_FALLBACK_TO_ETC_LOCALTIME__ => __UCLIBC_HAS_TZ_FILE__,output/FeatureModel/crosstree.constraints,,,,,1,,
__PTHREADS_DEBUG_SUPPORT__ => __UCLIBC_HAS_THREADS__,output/FeatureModel/crosstree.constraints,,,,,1,1,
__LDSO_PRELOAD_FILE_SUPPORT__ => __HAVE_SHARED__,output/FeatureModel/crosstree.constraints,,,,,,,
__UCLIBC_HAS_SSP__ => !(__HAVE_NO_SSP__),output/FeatureModel/crosstree.constraints,,,,,,,
__UCLIBC_HAS_SHA512_CRYPT_IMPL__ => __UCLIBC_HAS_CRYPT_IMPL__,output/FeatureModel/crosstree.constraints,,,,,,,
__ARCH_ANY_ENDIAN__ => __FORCE_OPTIONS_FOR_ARCH__,output/FeatureModel/crosstree.constraints,,,,,,,
__UCLIBC_HAS_SCANF_LENIENT_DIGIT_GROUPING__ => __UCLIBC_HAS_GLIBC_DIGIT_GROUPING__,output/FeatureModel/crosstree.constraints,,,,,,,
__DODEBUG__ => __EXTRA_WARNINGS__,output/FeatureModel/crosstree.constraints,,,,,,,
__LDSO_PRELOAD_ENV_SUPPORT__ => __HAVE_SHARED__,output/FeatureModel/crosstree.constraints,,,,,,,
__UCLIBC_HAS_FOPEN_LARGEFILE_MODE__ => __UCLIBC_HAS_LFS__,output/FeatureModel/crosstree.constraints,,,,,1,,
__UCLIBC_HAS_SYS_SIGLIST__ => __UCLIBC_HAS_SIGNUM_MESSAGES__,output/FeatureModel/crosstree.constraints,,,,,,,
__CONFIG_SH2A__ => __HAVE_NO_PIC__,output/FeatureModel/crosstree.constraints,,,,,,,
__ARCH_HAS_BWD_MEMCPY__ <=> __CONFIG_SH4__,output/FeatureModel/crosstree.constraints,,,,,,,
__TARGET_hppa__ => __FORCE_OPTIONS_FOR_ARCH__,output/FeatureModel/crosstree.constraints,,,,,,,
__UCLIBC_LINUX_MODULE_24__ => !(__TARGET_c6x__),output/FeatureModel/crosstree.constraints,,,,,,,
__TARGET_sh__ => __FORCE_OPTIONS_FOR_ARCH__,output/FeatureModel/crosstree.constraints,,,,,,,
__UCLIBC_HAS_BACKTRACE__ => __HAVE_SHARED__,output/FeatureModel/crosstree.constraints,,,,,,,
__UCLIBC_HAS_LOCALE__ => __UCLIBC_HAS_WCHAR__,output/FeatureModel/crosstree.constraints,1,,1,1,,,
__UCLIBC_HAS_LIBUTIL__ => __UCLIBC_HAS_PTY__,output/FeatureModel/crosstree.constraints,,,,,,,
__UCLIBC_HAS_CTYPE_SIGNED__ => __UCLIBC_HAS_CTYPE_TABLES__,output/FeatureModel/crosstree.constraints,,,,,,,
__UCLIBC_HAS_STDIO_FUTEXES__ <=> __UCLIBC_HAS_THREADS_NATIVE__,output/FeatureModel/crosstree.constraints,,,,,,,
__ASSUME_DEVPTS__ => __UCLIBC_HAS_PTY__,output/FeatureModel/crosstree.constraints,,,,,,,
__CONFIG_SH2A__ => __ARCH_HAS_NO_MMU__,output/FeatureModel/crosstree.constraints,,,,,,,
__UCLIBC_HAS_HEXADECIMAL_FLOATS__ => __UCLIBC_HAS_CTYPE_TABLES__,output/FeatureModel/crosstree.constraints,,,,,,,
__LDSO_PRELINK_SUPPORT__ => __LDSO_STANDALONE_SUPPORT__,output/FeatureModel/crosstree.constraints,,,,,,,
__TARGET_powerpc__ => __FORCE_OPTIONS_FOR_ARCH__,output/FeatureModel/crosstree.constraints,,,,,,,
__TARGET_ia64__ => __FORCE_OPTIONS_FOR_ARCH__,output/FeatureModel/crosstree.constraints,,,,,,,
__UCLIBC_HAS_XLOCALE__ => __UCLIBC_HAS_LOCALE__,output/FeatureModel/crosstree.constraints,1,,1,1,,,
__UCLIBC_BUILD_NOW__ => __HAVE_SHARED__,output/FeatureModel/crosstree.constraints,,,,,,,
__UCLIBC_BUILD_SSP__ => __UCLIBC_HAS_SSP__,output/FeatureModel/crosstree.constraints,,,,,,,
__UCLIBC_FORMAT_FDPIC_ELF__ => __DOPIC__,output/FeatureModel/crosstree.constraints,,,,,,,
__TARGET_c6x__ => __FORCE_OPTIONS_FOR_ARCH__,output/FeatureModel/crosstree.constraints,,,,,,,
__UCLIBC_FORMAT_DSBT_ELF__ => __DOPIC__,output/FeatureModel/crosstree.constraints,,,,,,,
__UCLIBC_HAS_RESOLVER_SUPPORT__ => __UCLIBC_HAS_COMPAT_RES_STATE__,output/FeatureModel/crosstree.constraints,1,,,,,,
__TARGET_v850__ => __FORCE_OPTIONS_FOR_ARCH__,output/FeatureModel/crosstree.constraints,,,,,,,
__LDSO_STANDALONE_SUPPORT__ => __HAVE_SHARED__,output/FeatureModel/crosstree.constraints,,,,,,,
__UCLIBC_DOWNLOAD_PREGENERATED_LOCALE_DATA__ => __UCLIBC_PREGENERATED_LOCALE_DATA__,output/FeatureModel/crosstree.constraints,,,,,,,
__UCLIBC_BUILD_PIE__ => __HAVE_SHARED__,output/FeatureModel/crosstree.constraints,,,,,,,
__HAVE_SHARED__ => !(__ARCH_HAS_NO_SHARED__),output/FeatureModel/crosstree.constraints,,,,,,,
__CONFIG_SH5__ => __ARCH_HAS_MMU__,output/FeatureModel/crosstree.constraints,,,,,,,
__CONFIG_SH2__ => __ARCH_HAS_NO_MMU__,output/FeatureModel/crosstree.constraints,,,,,,,
__LDSO_GNU_HASH_SUPPORT__ => __HAVE_SHARED__,output/FeatureModel/crosstree.constraints,,,,,,,
__UCLIBC_HAS_GLIBC_CUSTOM_PRINTF__ => !(__USE_OLD_VFPRINTF__),output/FeatureModel/crosstree.constraints,,,,,,,
__TARGET_nios__ => __FORCE_OPTIONS_FOR_ARCH__,output/FeatureModel/crosstree.constraints,,,,,,,
__UCLIBC_HAS_CRYPT_STUB__ => __UCLIBC_HAS_CRYPT__,output/FeatureModel/crosstree.constraints,,,,,1,1,
__ARCH_BIG_ENDIAN__ => __FORCE_OPTIONS_FOR_ARCH__,output/FeatureModel/crosstree.constraints,,,,,,,
__UCLIBC_HAS_IPV4__ => __UCLIBC_HAS_SOCKET__,output/FeatureModel/crosstree.constraints,,,1,,,,
__ARCH_LITTLE_ENDIAN__ => __FORCE_OPTIONS_FOR_ARCH__,output/FeatureModel/crosstree.constraints,,,,,,,
__SUPPORT_LD_DEBUG__ => __HAVE_SHARED__,output/FeatureModel/crosstree.constraints,,,,,,,
__UCLIBC_HAS_SOFT_FLOAT__ => !(__UCLIBC_HAS_FPU__),output/FeatureModel/crosstree.constraints,,,,,,,
__UCLIBC_BUILD_ALL_LOCALE__ => __UCLIBC_HAS_LOCALE__,output/FeatureModel/crosstree.constraints,,,,,,,
__TARGET_i960__ => __FORCE_OPTIONS_FOR_ARCH__,output/FeatureModel/crosstree.constraints,,,,,,,
