in individual
Mutex Edge, Type Errors Model,Def/Use Model,Errors Model,NestedIfDefModel Model,Parsing Errors Model,
__CONFIG_586MMX__ -- __CONFIG_SH4__,0,0,0,0,0,
__TARGET_frv__ -- __TARGET_ia64__,0,0,0,0,0,
__LINKRELAX__ -- __UCLIBC_HAS_LONG_DOUBLE_MATH__,0,0,0,0,0,
__TARGET_alpha__ -- __UCLIBC_HAS_LONG_DOUBLE_MATH__,0,0,0,0,0,
__CONFIG_SPARC_V9B__ -- __TARGET_nios2__,0,0,0,0,0,
__ARCH_USE_MMU__ -- __CONFIG_SH2__,0,0,0,0,0,
__CONFIG_WINCHIPC6__ -- __TARGET_ia64__,0,0,0,0,0,
__TARGET_avr32__ -- __TARGET_hppa__,0,0,0,0,0,
__CONFIG_SPARC_V8__ -- __TARGET_avr32__,0,0,0,0,0,
__LINKRELAX__ -- __TARGET_microblaze__,0,0,0,0,0,
__CONFIG_MIPS_ISA_2__ -- __CONFIG_SH4__,0,0,0,0,0,
__CONFIG_MIPS_ISA_MIPS32R2__ -- __UCLIBC_FORMAT_DSBT_ELF__,0,0,0,0,0,
__ARCH_BIG_ENDIAN__ -- __CONFIG_386__,0,0,0,0,0,
__ARCH_HAS_NO_MMU__ -- __TARGET_arm__,0,0,0,0,0,
__TARGET_i960__ -- __TARGET_microblaze__,0,0,0,0,0,
__UCLIBC_FORMAT_DSBT_ELF__ -- __UCLIBC_HAS_LONG_DOUBLE_MATH__,0,0,0,0,0,
__LDSO_CACHE_SUPPORT__ -- __TARGET_hppa__,0,0,0,0,0,
__CONFIG_PENTIUM4__ -- __TARGET_hppa__,0,0,0,0,0,
__TARGET_alpha__ -- __TARGET_frv__,0,0,0,0,0,
__CONFIG_SH3__ -- __UCLIBC_FORMAT_FDPIC_ELF__,0,0,0,0,0,
__TARGET_avr32__ -- __TARGET_sparc__,0,0,0,0,0,
__CONFIG_CRIS__ -- __CONFIG_H8S__,0,0,0,0,0,
__ARCH_LITTLE_ENDIAN__ -- __TARGET_microblaze__,0,0,0,0,0,
__CONFIG_MIPS_ISA_1__ -- __HAVE_NO_SSP__,0,0,0,0,0,
__CONFIG_H8300H__ -- __UCLIBC_FORMAT_FDPIC_ELF__,0,0,0,0,0,
__CONFIG_H8300H__ -- __TARGET_m68k__,0,0,0,0,0,
__ARCH_WANTS_LITTLE_ENDIAN__ -- __CONFIG_AVR32_AP7__,0,0,0,0,0,
__CONFIG_586MMX__ -- __CONFIG_686__,0,0,0,0,0,
__CONFIG_H8S__ -- __CONFIG_MIPS_N32_ABI__,0,0,0,0,0,
__CONFIG_SH2A__ -- __SUPPORT_LD_DEBUG_EARLY__,0,0,0,0,0,
__CONFIG_SH5__ -- __UCLIBC_BUILD_PIE__,0,0,0,0,0,
__COMPILE_IN_THUMB_MODE__ -- __CONFIG_CRUSOE__,0,0,0,0,0,
__LDSO_LD_LIBRARY_PATH__ -- __UCLIBC_FORMAT_ELF__,0,0,0,0,0,
__CONFIG_GENERIC_C6X__ -- __TARGET_microblaze__,0,0,0,0,0,
__CONFIG_K7__ -- __TARGET_nios2__,0,0,0,0,0,
__CONFIG_SPARC_V7__ -- __CONFIG_TMS320C64XPLUS__,0,0,0,0,0,
__TARGET_vax__ -- __TARGET_xtensa__,0,0,0,0,0,
__COMPILE_IN_THUMB_MODE__ -- __TARGET_powerpc__,0,0,0,0,0,
__CONFIG_GENERIC_386__ -- __TARGET_vax__,0,0,0,0,0,
__CONFIG_MIPS_N64_ABI__ -- __TARGET_x86_64__,0,0,0,0,0,
__CONFIG_586__ -- __CONFIG_MIPS_ISA_MIPS32R2__,0,0,0,0,0,
__CONFIG_AVR32_AP7__ -- __CONFIG_SPARC_V9__,0,0,0,0,0,
__CONFIG_386__ -- __TARGET_cris__,0,0,0,0,0,
__CONFIG_MIPS_ISA_1__ -- __TARGET_i386__,0,0,0,0,0,
__CONFIG_586__ -- __CONFIG_PENTIUM4__,0,0,0,0,0,
__CONFIG_H8S__ -- __TARGET_alpha__,0,0,0,0,0,
__CONFIG_PENTIUMII__ -- __TARGET_h8300__,0,0,0,0,0,
__CONFIG_MIPS_O32_ABI__ -- __TARGET_ia64__,0,0,0,0,0,
__LINKRELAX__ -- __TARGET_i960__,0,0,0,0,0,
__SUPPORT_LD_DEBUG_EARLY__ -- __TARGET_hppa__,0,0,0,0,0,
__CONFIG_CRUSOE__ -- __CONFIG_K7__,0,0,0,0,0,
__CONFIG_386__ -- __CONFIG_MIPS_ISA_3__,0,0,0,0,0,
__CONFIG_ARM_EABI__ -- __CONFIG_PENTIUM4__,0,0,0,0,0,
__CONFIG_MIPS_ISA_2__ -- __TARGET_alpha__,0,0,0,0,0,
__CONFIG_686__ -- __CONFIG_MIPS_ISA_2__,0,0,0,0,0,
__UCLIBC_FORMAT_ELF__ -- __UCLIBC_HAS_STDIO_AUTO_RW_TRANSITION__,0,0,0,0,0,
__CONFIG_MIPS_ISA_MIPS32R2__ -- __CONFIG_NEHEMIAH__,0,0,0,0,0,
__ARCH_HAS_NO_SHARED__ -- __UCLIBC_BUILD_NOW__,0,0,0,0,0,
__TARGET_m68k__ -- __TARGET_xtensa__,0,0,0,0,0,
__ARCH_HAS_BWD_MEMCPY__ -- __CONFIG_CYRIXIII__,0,0,0,0,0,
__CONFIG_MIPS_ISA_3__ -- __CONFIG_SPARC_V7__,0,0,0,0,0,
__ARCH_USE_MMU__ -- __TARGET_h8300__,0,0,0,0,0,
