Constraint, #error, Parser, Type, Linker, Spec1Added, FeatureEffect, FeatureEffect_Build, Spec2Added, CodeAdded
__UCLIBC_HAS_SYS_ERRLIST__ => __UCLIBC_HAS_ERRNO_MESSAGES__,,,,,,,,,,
__UCLIBC_HAS_ADVANCED_REALTIME__ => __UCLIBC_HAS_REALTIME__,,,,,,,,,,
__UCLIBC_HAS_HEXADECIMAL_FLOATS__ => __UCLIBC_HAS_FLOATS__,,,,,,1,,1,1,
__UCLIBC_HAS_TLS__ <=> __UCLIBC_HAS_THREADS_NATIVE__,,,,,,,,,,
__UCLIBC_HAS_GETTEXT_AWARENESS__ => __UCLIBC_MJN3_ONLY__,,,,,,,,,,
__UCLIBC_HAS_FTW__ => __UCLIBC_SUSV4_LEGACY__,,,,,,,,,,
__UCLIBC_PREGENERATED_LOCALE_DATA__ => __UCLIBC_HAS_LOCALE__,,,,,,,,,,
__UCLIBC_HAS_IPV6__ => __UCLIBC_HAS_SOCKET__,,,,1,1,,,,1,
__UCLIBC_FORMAT_SHARED_FLAT__ => __ARCH_HAS_NO_LDSO__,,,,,,,,,,
__UCLIBC_HAS_REENTRANT_RPC__ => __UCLIBC_HAS_RPC__,,,,,,,,,,
__TARGET_e1__ => __FORCE_OPTIONS_FOR_ARCH__,,,,,,,,,,
__UCLIBC_FORMAT_DSBT_ELF__ => !(__ARCH_USE_MMU__),,,,,,,,,,
__TARGET_vax__ => __FORCE_OPTIONS_FOR_ARCH__,,,,,,,,,,
__UCLIBC_HAS_LONG_DOUBLE_MATH__ => __DO_C99_MATH__,,,,,,,,,,
__CONFIG_SH3__ => __ARCH_HAS_MMU__,,,,,,,,,,
__DO_XSI_MATH__ => __UCLIBC_HAS_FLOATS__,,,,1,1,,1,1,1,
__UCLIBC_HAS_LOCALE__ => __UCLIBC_HAS_CTYPE_TABLES__,,,1,1,1,,,,1,
__UCLIBC_HAS_GLOB__ => __UCLIBC_HAS_FNMATCH__,,,,,,,,,,
__LDSO_NO_CLEANUP__ => __HAVE_SHARED__,,,,,,,,,,
__TARGET_nios2__ => __FORCE_OPTIONS_FOR_ARCH__,,,,,,,,,,
__ARCH_WANTS_BIG_ENDIAN__ => __ARCH_BIG_ENDIAN__,,,,,,,,,,
__UCLIBC_HAS_FULL_RPC__ => __UCLIBC_HAS_RPC__,,,,,,,1,1,1,
__UCLIBC_HAS_THREADS__ => !(__HAS_NO_THREADS__),,,,,,,,,,
__UCLIBC_HAS___PROGNAME__ => __UCLIBC_HAS_PROGRAM_INVOCATION_NAME__,,,,,,,,,,
__SUPPORT_LD_DEBUG_EARLY__ => __HAVE_SHARED__,,,,,,,,,,
__HAVE_NO_PIC__ => __FORCE_OPTIONS_FOR_ARCH__,,,,,,,,,,
__LDSO_PRELINK_SUPPORT__ => __HAVE_SHARED__,,,,,,,,,,
__UCLIBC_FALLBACK_TO_ETC_LOCALTIME__ => __UCLIBC_HAS_TZ_FILE__,,,,,,1,,1,1,
__PTHREADS_DEBUG_SUPPORT__ => __UCLIBC_HAS_THREADS__,,,,,,,1,1,1,
__LDSO_PRELOAD_FILE_SUPPORT__ => __HAVE_SHARED__,,,,,,,,,,
