in individual
loaded all graphs
Implication, Type Errors Model,Def/Use Model,Errors Model,NestedIfDefModel Errors Model,Parsing Errors Model,
__TARGET_e1__ => __UCLIBC_UCLINUX_BROKEN_MUNMAP__,0,0,0,0,0,
__CONFIG_K7__ => __HAVE_DOT_CONFIG__,0,0,0,0,0,
__TARGET_avr32__ => __ARCH_BIG_ENDIAN__,0,0,0,0,0,
__CONFIG_SPARC_V8__ => __FORCE_OPTIONS_FOR_ARCH__,0,0,0,0,0,
__CONFIG_486__ => __TARGET_i386__,0,0,0,0,0,
__UCLIBC_FALLBACK_TO_ETC_LOCALTIME__ => __HAVE_DOT_CONFIG__,0,0,0,0,0,
__UCLIBC_HAS_OBSOLETE_BSD_SIGNAL__ => __HAVE_DOT_CONFIG__,0,0,0,0,0,
__TARGET_bfin__ => __UCLIBC_UCLINUX_BROKEN_MUNMAP__,0,0,0,0,0,
__UCLIBC_BUILD_PIE__ => __FORCE_SHAREABLE_TEXT_SEGMENTS__,0,0,0,0,0,
__UCLIBC_FORMAT_FLAT__ => __ARCH_HAS_NO_LDSO__,0,0,0,0,0,
__UCLIBC_HAS_STDIO_PUTC_MACRO__ => __HAVE_DOT_CONFIG__,0,0,0,0,0,
__MALLOC__ => __HAVE_DOT_CONFIG__,0,0,0,0,0,
__UCLIBC_BUILD_ALL_LOCALE__ => __UCLIBC_HAS_CTYPE_TABLES__,0,0,0,0,0,
__UCLIBC_FORMAT_ELF__ => __UCLIBC_HAS_ARC4RANDOM__,0,0,0,0,0,
__UCLIBC_USE_NETLINK__ => __HAVE_DOT_CONFIG__,0,0,0,0,0,
__UCLIBC_HAS_NFTW__ => __HAVE_DOT_CONFIG__,0,0,0,0,0,
__TARGET_x86_64__ => __FORCE_OPTIONS_FOR_ARCH__,0,0,0,0,0,
__UCLIBC_FORMAT_ELF__ => __UCLIBC_HAS_OBSOLETE_SYSV_SIGNAL__,0,0,0,0,0,
__UCLIBC_HAS_XATTR__ => __HAVE_DOT_CONFIG__,0,0,0,0,0,
__DODEBUG__ => __EXTRA_WARNINGS__,0,0,0,0,0,
__UCLIBC_FORMAT_ELF__ => __CONFIG_K6__,0,0,0,0,0,
__CONFIG_K6__ => __TARGET_i386__,0,0,0,0,0,
__DEVEL_PREFIX__ => __HAVE_DOT_CONFIG__,0,0,0,0,0,
__TARGET_nios2__ => __ARCH_HAS_NO_MMU__,0,0,0,0,0,
__UCLIBC_FORMAT_ELF__ => __UCLIBC_HAS_CRYPT_STUB__,0,0,0,0,0,
__ARCH_USE_MMU__ => __HAVE_DOT_CONFIG__,0,0,0,0,0,
__HAVE_SHARED__ => __HAVE_DOT_CONFIG__,0,0,0,0,0,
__CONFIG_CRIS__ => __ARCH_LITTLE_ENDIAN__,0,0,0,0,0,
__UCLIBC_HAS_BACKTRACE__ => __HAVE_SHARED__,0,0,0,0,0,
__CONFIG_CYRIXIII__ => __FORCE_OPTIONS_FOR_ARCH__,0,0,0,0,0,
__UCLIBC_FORMAT_ELF__ => __LDSO_PRELOAD_FILE_SUPPORT__,0,0,0,0,0,
__UCLIBC_FORMAT_ELF__ => __CONFIG_PENTIUMIII__,0,0,0,0,0,
__UCLIBC_FORMAT_ELF__ => __UCLIBC_HAS_SOCKET__,0,0,0,0,0,
__TARGET_e1__ => __ARCH_HAS_NO_LDSO__,0,0,0,0,0,
__UCLIBC_SV4_DEPRECATED__ => __HAVE_DOT_CONFIG__,0,0,0,0,0,
__CONFIG_MIPS_O32_ABI__ => __TARGET_mips__,0,0,0,0,0,
__UCLIBC_FORMAT_ELF__ => __TARGET_vax__,0,0,0,0,0,
__CONFIG_MIPS_ISA_2__ => __FORCE_OPTIONS_FOR_ARCH__,0,0,0,0,0,
__UCLIBC_HAS_LOCALE__ => __UCLIBC_HAS_CTYPE_TABLES__,1,1,0,0,0,
__ARCH_WANTS_BIG_ENDIAN__ => __ARCH_ANY_ENDIAN__,0,0,0,0,0,
__CONFIG_686__ => __ARCH_HAS_MMU__,0,0,0,0,0,
__UCLIBC_HAS_GNU_GETOPT__ => __HAVE_DOT_CONFIG__,0,0,0,0,0,
__CONFIG_AVR32_AP7__ => __HAVE_DOT_CONFIG__,0,0,0,0,0,
__UCLIBC_FORMAT_ELF__ => __UCLIBC_HAS_FTW__,0,0,0,0,0,
